Transaccion_ID, SKU_ID   , Fecha_Venta, Cantidad_Vendida, Precio_Venta_Final, Costo_Envio, Tiempo_Entrega_Real, Estado_Envio, Ciudad_Destino, Canal_Venta, Feedback_ID, Rating_Producto, Rating_Logistica, Comentario_Texto, Recomienda_Marca, Ticket_Soporte_Abierto, Edad_Cliente, Satisfaccion_NPS, Categoria  , Stock_Actual, Costo_Unitario_USD, Punto_Reorden, Lead_Time_Dias, Bodega_Origen, Ultima_Revision, Rating_Servicio
TRX-12915     , PROD-3432, 2024-09-24 ,               12,            1322.55,       15.14,                  12, Retrasado   , Medellín      , Físico     , FB-8886    ,               1,                3, Excelente       , SI              , Sí                    ,           81, 37.6            , Tablets    , 1228.0      ,            1484.23,           299,              3, ZONA_FRANCA  , 2025-02-24     ,             0.6
TRX-12917     , PROD-2828, 2025-11-17 ,               12,            1412.96,        6.46,                  12, Retrasado   , Barranquilla  , Online     , FB-10181   ,               2,                1, Lento           , NO              , Sí                    ,           75, -61.9           , Laptops    , 401.0       ,            1076.05,           153,              5, NORTE        , 2024-12-29     ,             0.4
TRX-12918     , PROD-3448, 2025-02-12 ,               14,            1985.01,       45.01,                  26, Entregado   , Bogotá        , Físico     , FB-11880   ,               4,                2, Precio justo    , MAYBE           , Sí                    ,           22, 91.4            , Tablets    , 1983.0      ,             162.35,           155,              5, BOD-EXT-99   , 2025-12-29     ,             1.6
TRX-12923     , PROD-1181, 2025-12-31 ,               10,              84.14,       51.46,                   5, En Camino   , Medellín      , Físico     , FB-10690   ,               5,                5, Excelente       , SI              , No                    ,           48, 60.9            , Smartphones, 918.0       ,             649.1 ,           178,              5, SUR          , 2024-12-23     ,             5.0
TRX-12925     , PROD-2797, 2025-05-04 ,                5,             112.48,       50.12,                  11, Entregado   , Cali          , Físico     , FB-8519    ,               3,                3, Excelente       , MAYBE           , Sí                    ,           67, -6.0            , Tablets    , 1805.0      ,             697.17,           187,              5, SUR          , 2025-06-04     ,             1.8
TRX-12927     , PROD-3210, 2025-09-24 ,                5,             213.14,       79.31,                  26, Perdido     , Barranquilla  , App        , FB-10791   ,               5,                5, Precio justo    , MAYBE           , Sí                    ,           47, 97.1            , Monitores  , 1648.0      ,             406.44,           282,              5, ZONA_FRANCA  , 2024-09-21     ,             5.0
TRX-12929     , PROD-1231, 2024-10-15 ,               10,              61.11,       12.76,                  28, Devuelto    , Bogotá        , App        , FB-11836   ,               5,                3, Excelente       , NO              , No                    ,           38, 59.3            , Accesorios , 1627.0      ,            1106.14,           176,              5, NORTE        , 2024-07-16     ,             3.0
TRX-12932     , PROD-2184, 2025-01-07 ,                6,             513.18,       58.1 ,                   6, Entregado   , Ventas_Web    , Físico     , FB-8578    ,               4,                3, Lento           , MAYBE           , Sí                    ,           35, 9.1             , Smartphones, 1478.0      ,            1230.86,           138,              5, SUR          , 2024-08-25     ,             2.4
TRX-12933     , PROD-1959, 2025-07-16 ,                7,             261.81,       25.36,                  20, Retrasado   , Bogotá        , Físico     , FB-9405    ,               5,                3, Excelente       , SI              , Sí                    ,           60, 95.2            , Smartphones, 1908.0      ,            1072.31,           179,              0, NORTE        , 2025-12-17     ,             3.0
TRX-12935     , PROD-3359, 2025-08-01 ,               10,             459.96,       52.76,                  24, En Camino   , Bogotá        , App        , FB-10456   ,               4,                2, Dañado          , NO              , No                    ,           29, 71.2            , Laptops    , 1239.0      ,            1065.5 ,           174,              5, NORTE        , 2026-01-04     ,             1.6
TRX-12936     , PROD-2306, 2024-12-28 ,                5,              47.71,       50.19,                  27, En Camino   , Bogotá        , Físico     , FB-10043   ,               2,                5, Lento           , SI              , No                    ,           32, 91.9            , Smartphones, 1201.0      ,             881.67,           230,              0, SUR          , 2024-10-31     ,             2.0
TRX-12942     , PROD-2236, 2025-07-21 ,               10,            1236.79,       28.04,                  28, Entregado   , Cali          , Físico     , FB-8629    ,               5,                1, Excelente       , MAYBE           , No                    ,           76, -36.0           , Laptops    , 860.0       ,            1120.0 ,           193,              0, ZONA_FRANCA  , 2024-05-16     ,             1.0
TRX-12942     , PROD-2236, 2025-07-21 ,               10,            1236.79,       28.04,                  28, Entregado   , Cali          , Físico     , FB-8811    ,               3,                3, Lento           , SI              , Sí                    ,           59, 24.4            , Laptops    , 860.0       ,            1120.0 ,           193,              0, ZONA_FRANCA  , 2024-05-16     ,             1.8
TRX-12943     , PROD-1586, 2025-03-29 ,                7,            1875.15,       30.03,                  18, Retrasado   , Barranquilla  , Físico     , FB-9455    ,               1,                3, Precio justo    , MAYBE           , No                    ,           26, -40.5           , Laptops    , 1293.0      ,            1434.12,           185,             27, OCCIDENTE    , 2024-12-05     ,             0.6
TRX-12945     , PROD-3135, 2025-09-15 ,               13,             950.41,       25.04,                  13, Devuelto    , Medellín      , App        , FB-10788   ,               1,                4, Lento           , SI              , Sí                    ,           52, -35.1           , Monitores  , 1803.0      ,            1272.27,           119,             10, OCCIDENTE    , 2024-09-27     ,             0.8
TRX-12945     , PROD-3135, 2025-09-15 ,               13,             950.41,       25.04,                  13, Devuelto    , Medellín      , App        , FB-11858   ,               5,                4, Lento           , NO              , No                    ,           50, -27.4           , Monitores  , 1803.0      ,            1272.27,           119,             10, OCCIDENTE    , 2024-09-27     ,             4.0
TRX-12947     , PROD-2693, 2025-09-11 ,                8,            1513.21,       82.76,                   1, Retrasado   , Medellín      , App        , FB-10879   ,               3,                2, Precio justo    , NO              , No                    ,           43, -49.8           , Smartphones, 1962.0      ,            1224.47,           161,              5, NORTE        , 2025-07-26     ,             1.2
TRX-12947     , PROD-2693, 2025-09-11 ,                8,            1513.21,       82.76,                   1, Retrasado   , Medellín      , App        , FB-8208    ,               1,                1, Excelente       , SI              , No                    ,           66, 52.3            , Smartphones, 1962.0      ,            1224.47,           161,              5, NORTE        , 2025-07-26     ,             0.2
TRX-12948     , PROD-2230, 2024-10-11 ,                2,             290.14,       36.08,                  20, Retrasado   , Bogotá        , Físico     , FB-9524    ,               1,                4, Excelente       , SI              , Sí                    ,           59, -82.0           , Smartphones, 1128.0      ,            1378.91,           286,             10, SUR          , 2024-08-24     ,             0.8
TRX-12950     , PROD-1249, 2025-10-20 ,                7,             848.43,       85.18,                  25, Devuelto    , Bogotá        , Online     , FB-11567   ,               1,                5, Dañado          , SI              , No                    ,           47, -66.0           , Smartphones, 1304.0      ,             495.46,           227,              3, NORTE        , 2024-04-12     ,             1.0
TRX-12953     , PROD-1717, 2026-01-08 ,               13,            1893.73,       32.88,                   7, Devuelto    , Ventas_Web    , Online     , FB-10506   ,               1,                5, Excelente       , NO              , Sí                    ,           69, -4.3            , Accesorios , 689.0       ,             406.48,           215,              0, NORTE        , 2025-10-21     ,             1.0
TRX-12957     , PROD-3276, 2026-01-19 ,                9,            1041.38,       99.3 ,                  10, Retrasado   , Bogotá        , Online     , FB-8108    ,               1,                5, Excelente       , SI              , Sí                    ,           70, 38.9            , Smartphones, 156.0       ,            1423.37,           116,             10, BOD-EXT-99   , 2024-07-28     ,             1.0
TRX-12958     , PROD-3030, 2025-07-23 ,               14,             911.54,       33.65,                   9, Perdido     , Medellín      , Físico     , FB-11703   ,               5,                1, Lento           , SI              , Sí                    ,           45, 39.3            , Smartphones, 595.0       ,             487.3 ,           258,              5, ZONA_FRANCA  , 2024-12-23     ,             1.0
TRX-12959     , PROD-1192, 2025-01-12 ,               14,            1424.14,       93.4 ,                  25, Perdido     , Bucaramanga   , App        , FB-10768   ,               3,                4, No volvería     , MAYBE           , Sí                    ,           66, -87.4           , Laptops    , 439.0       ,            1325.03,           212,              3, OCCIDENTE    , 2025-03-27     ,             2.4
TRX-12960     , PROD-2410, 2025-02-13 ,               14,            1207.83,       35.46,                  16, Devuelto    , Medellín      , App        , FB-9522    ,               4,                4, Lento           , SI              , No                    ,           36, 80.2            , Accesorios , 799.0       ,             684.95,           290,              5, NORTE        , 2025-12-25     ,             3.2
TRX-12960     , PROD-2410, 2025-02-13 ,               14,            1207.83,       35.46,                  16, Devuelto    , Medellín      , App        , FB-9653    ,               1,                5, Dañado          , SI              , No                    ,           55, 53.4            , Accesorios , 799.0       ,             684.95,           290,              5, NORTE        , 2025-12-25     ,             1.0
TRX-12967     , PROD-2705, 2025-10-12 ,                4,            1297.63,       77.26,                  24, Retrasado   , Bogotá        , Físico     , FB-9496    ,               5,                4, Excelente       , MAYBE           , No                    ,           83, -13.3           , Tablets    , 1330.0      ,             252.2 ,           297,              3, BOD-EXT-99   , 2025-02-10     ,             4.0
TRX-12968     , PROD-2672, 2025-01-31 ,                8,            1943.16,       49.85,                  18, Perdido     , Medellín      , Online     , FB-9868    ,               2,                1, Excelente       , NO              , Sí                    ,           19, 72.2            , Smartphones, 1988.0      ,            1467.31,           163,             27, BOD-EXT-99   , 2025-09-16     ,             0.4
TRX-12971     , PROD-2541, 2025-05-25 ,               12,            1385.74,       69.57,                  24, Entregado   , Cali          , App        , FB-10186   ,               3,                5, Excelente       , SI              , Sí                    ,           69, -84.8           , Smartphones, 1052.0      ,             895.8 ,           172,              5, SUR          , 2024-10-29     ,             3.0
TRX-12973     , PROD-3203, 2025-04-03 ,               10,              37.56,       45.05,                   2, Retrasado   , Ventas_Web    , Online     , FB-8131    ,               2,                2, Excelente       , NO              , No                    ,           72, 2.6             , Smartphones, 1523.0      ,            1211.19,           245,             10, NORTE        , 2025-07-29     ,             0.8
TRX-12973     , PROD-3203, 2025-04-03 ,               10,              37.56,       45.05,                   2, Retrasado   , Ventas_Web    , Online     , FB-10082   ,               4,                5, Dañado          , MAYBE           , Sí                    ,           68, -96.9           , Smartphones, 1523.0      ,            1211.19,           245,             10, NORTE        , 2025-07-29     ,             4.0
TRX-12977     , PROD-2231, 2025-02-05 ,                2,            1561.45,       44.16,                  16, En Camino   , Bogotá        , App        , FB-9908    ,               4,                4, Excelente       , SI              , No                    ,           46, -71.5           , Tablets    , 1987.0      ,             525.37,           175,              5, SUR          , 2024-09-11     ,             3.2
TRX-12979     , PROD-1591, 2025-10-28 ,                7,            1966.81,       67.27,                  28, Retrasado   , Medellín      , Online     , FB-10215   ,               1,                3, Excelente       , SI              , No                    ,           82, -34.6           , Tablets    , 870.0       ,             632.12,           248,              3, ZONA_FRANCA  , 2024-07-14     ,             0.6
TRX-12981     , PROD-1236, 2025-09-24 ,               13,             193.32,       82.26,                  12, Devuelto    , Medellín      , Online     , FB-9195    ,               4,                3, Excelente       , MAYBE           , Sí                    ,           55, -80.9           , Laptops    , 524.0       ,             630.31,           295,              5, ZONA_FRANCA  , 2025-03-18     ,             2.4
TRX-12984     , PROD-2706, 2024-10-03 ,                3,             704.7 ,       11.31,                  28, Devuelto    , Barranquilla  , Online     , FB-9796    ,               1,                2, Lento           , MAYBE           , No                    ,           70, -53.4           , Smartphones, 1623.0      ,             875.35,           155,             10, NORTE        , 2024-04-12     ,             0.4
TRX-12988     , PROD-2590, 2025-01-14 ,               14,            1266.42,       52.36,                  22, Perdido     , Bogotá        , Físico     , FB-10293   ,               3,                4, Excelente       , SI              , No                    ,           58, 43.0            , Accesorios , 529.0       ,             379.85,           299,              0, NORTE        , 2024-11-05     ,             2.4
TRX-12992     , PROD-2352, 2026-02-02 ,                1,            1140.12,       25.21,                   8, Retrasado   , Bogotá        , Online     , FB-8122    ,               3,                5, Precio justo    , SI              , Sí                    ,           67, 58.9            , Smartphones, 1998.0      ,            1456.24,           162,             10, OCCIDENTE    , 2024-10-23     ,             3.0
TRX-13005     , PROD-3477, 2025-06-16 ,                9,            1307.51,       96.62,                  19, En Camino   , Barranquilla  , App        , FB-8815    ,               3,                5, Excelente       , NO              , No                    ,           24, -60.0           , Accesorios , 514.0       ,             411.02,           114,              5, ZONA_FRANCA  , 2024-12-24     ,             3.0
TRX-13005     , PROD-3477, 2025-06-16 ,                9,            1307.51,       96.62,                  19, En Camino   , Barranquilla  , App        , FB-10655   ,               4,                3, Dañado          , SI              , Sí                    ,           62, -81.7           , Accesorios , 514.0       ,             411.02,           114,              5, ZONA_FRANCA  , 2024-12-24     ,             2.4
TRX-13007     , PROD-1161, 2026-01-05 ,                4,            1163.54,       28.5 ,                   4, Retrasado   , Medellín      , Online     , FB-9026    ,               5,                4, Dañado          , MAYBE           , No                    ,           37, -5.3            , Laptops    , 811.0       ,            1458.17,           282,              5, BOD-EXT-99   , 2024-07-07     ,             4.0
TRX-13009     , PROD-1770, 2025-03-22 ,                5,            1742.69,       17.63,                  15, Entregado   , Barranquilla  , Online     , FB-10334   ,               2,                1, Lento           , MAYBE           , Sí                    ,           54, -5.3            , Monitores  , 635.0       ,             136.45,           251,              5, SUR          , 2025-01-19     ,             0.4
TRX-13015     , PROD-2963, 2024-10-05 ,                5,              90.37,       21.79,                  12, Retrasado   , Medellín      , Online     , FB-10004   ,               5,                5, Dañado          , SI              , No                    ,           63, -96.3           , Tablets    , 1823.0      ,             957.19,           294,              0, OCCIDENTE    , 2025-01-10     ,             5.0
TRX-13015     , PROD-2963, 2024-10-05 ,                5,              90.37,       21.79,                  12, Retrasado   , Medellín      , Online     , FB-10558   ,               5,                1, No volvería     , NO              , Sí                    ,           39, 15.6            , Tablets    , 1823.0      ,             957.19,           294,              0, OCCIDENTE    , 2025-01-10     ,             1.0
TRX-13015     , PROD-2963, 2024-10-05 ,                5,              90.37,       21.79,                  12, Retrasado   , Medellín      , Online     , FB-11420   ,               2,                3, Lento           , MAYBE           , Sí                    ,           25, -7.7            , Tablets    , 1823.0      ,             957.19,           294,              0, OCCIDENTE    , 2025-01-10     ,             1.2
TRX-13018     , PROD-2241, 2025-06-16 ,                3,             637.27,       53.08,                   8, Retrasado   , Cali          , Online     , FB-8492    ,               1,                1, Excelente       , NO              , No                    ,           41, 36.6            , Accesorios , 1681.0      ,             724.3 ,           145,              3, NORTE        , 2024-08-01     ,             0.2
TRX-13018     , PROD-2241, 2025-06-16 ,                3,             637.27,       53.08,                   8, Retrasado   , Cali          , Online     , FB-11871   ,               1,                5, Excelente       , SI              , No                    ,           69, -94.8           , Accesorios , 1681.0      ,             724.3 ,           145,              3, NORTE        , 2024-08-01     ,             1.0
TRX-13021     , PROD-1778, 2025-05-24 ,                6,             624.6 ,       79.34,                  11, Perdido     , Ventas_Web    , App        , FB-11779   ,               3,                4, Precio justo    , SI              , Sí                    ,           61, 82.2            , Tablets    , 1381.0      ,             246.07,           278,              0, OCCIDENTE    , 2025-03-06     ,             2.4
TRX-13028     , PROD-1837, 2025-12-14 ,                1,             923.83,       18.43,                  15, En Camino   , Medellín      , App        , FB-9920    ,               1,                3, No volvería     , NO              , No                    ,           59, 97.0            , Monitores  , 802.0       ,            1341.45,           147,              5, SUR          , 2025-03-05     ,             0.6
TRX-13029     , PROD-2624, 2024-12-28 ,                8,             227.6 ,        7.94,                  28, Retrasado   , Ventas_Web    , Online     , FB-9507    ,               1,                2, Lento           , SI              , Sí                    ,           39, 80.8            , Laptops    , 1586.0      ,            1346.2 ,           122,              5, NORTE        , 2025-11-25     ,             0.4
TRX-13031     , PROD-3261, 2025-04-15 ,                9,             339.09,       86.25,                  28, Retrasado   , Bogotá        , Online     , FB-10084   ,               1,                2, Dañado          , SI              , No                    ,           26, -88.4           , Tablets    , 1155.0      ,             540.83,           104,             27, SUR          , 2024-03-27     ,             0.4
TRX-13032     , PROD-2317, 2025-12-15 ,                1,            1564.81,       76.64,                   7, Entregado   , Medellín      , Online     , FB-11147   ,               3,                2, Excelente       , NO              , No                    ,           72, -37.1           , Smartphones, 1920.0      ,            1289.09,           112,              3, NORTE        , 2025-06-23     ,             1.2
TRX-13036     , PROD-3185, 2025-10-11 ,                4,            1749.45,       52.36,                   6, Entregado   , Medellín      , Online     , FB-11567   ,               4,                5, Excelente       , SI              , No                    ,           43, 14.3            , Smartphones, 1043.0      ,             355.61,           167,             27, SUR          , 2024-04-18     ,             4.0
TRX-13041     , PROD-2473, 2026-01-20 ,               14,            1245.24,       97.11,                  15, Perdido     , Bogotá        , Online     , FB-9201    ,               4,                4, No volvería     , SI              , No                    ,           61, 6.6             , Tablets    , 1428.0      ,             737.53,           200,             10, OCCIDENTE    , 2025-11-20     ,             3.2
TRX-13050     , PROD-2518, 2025-04-18 ,                4,             509.94,       55.34,                  16, Entregado   , Ventas_Web    , App        , FB-9771    ,               2,                3, Excelente       , SI              , No                    ,           73, 92.5            , Accesorios , 1672.0      ,            1090.63,           279,              5, OCCIDENTE    , 2025-06-14     ,             1.2
TRX-13053     , PROD-1187, 2026-01-19 ,               14,            1027.24,        6.46,                  14, Perdido     , Medellín      , Online     , FB-9191    ,               4,                3, Dañado          , SI              , Sí                    ,           81, -51.4           , Smartphones, 1032.0      ,             277.38,           151,              0, BOD-EXT-99   , 2024-05-15     ,             2.4
TRX-13056     , PROD-1597, 2024-12-01 ,               11,            1624.05,       74.64,                  12, Perdido     , Ventas_Web    , Físico     , FB-10744   ,               2,                1, Excelente       , SI              , Sí                    ,           66, 95.6            , Smartphones, 327.0       ,             352.8 ,           260,             10, NORTE        , 2024-05-13     ,             0.4
TRX-13058     , PROD-2068, 2025-06-29 ,               11,             262.32,       29.22,                  29, Devuelto    , Medellín      , Físico     , FB-8744    ,               2,                4, No volvería     , MAYBE           , Sí                    ,           54, -63.3           , Monitores  , 721.0       ,             787.9 ,           155,              5, SUR          , 2025-10-16     ,             1.6
TRX-13061     , PROD-3372, 2025-05-04 ,                8,             368.57,       93.52,                  26, Retrasado   , Barranquilla  , Online     , FB-9857    ,               5,                5, Precio justo    , NO              , No                    ,           26, -66.4           , Accesorios , 637.0       ,             760.95,           268,              5, OCCIDENTE    , 2024-10-31     ,             5.0
TRX-13064     , PROD-2209, 2025-01-09 ,                3,             773.73,       34.95,                   6, Devuelto    , Barranquilla  , Online     , FB-11075   ,               3,                5, Lento           , SI              , No                    ,           51, 71.5            , Monitores  , 863.0       ,             610.87,           289,              5, BOD-EXT-99   , 2024-12-22     ,             3.0
TRX-13065     , PROD-1624, 2025-06-14 ,                2,            1265.79,       38.89,                  19, En Camino   , Ventas_Web    , Online     , FB-9793    ,               2,                2, Excelente       , NO              , No                    ,           68, 12.6            , Monitores  , -12.0       ,            1186.03,           176,             27, ZONA_FRANCA  , 2024-11-12     ,             0.8
TRX-13069     , PROD-2555, 2025-02-07 ,               12,             873.19,       51.8 ,                  18, Perdido     , Barranquilla  , Online     , FB-11156   ,               5,                5, Excelente       , MAYBE           , No                    ,           20, 51.7            , Monitores  , 1502.0      ,            1469.6 ,           177,              3, SUR          , 2024-08-24     ,             5.0
TRX-13077     , PROD-2054, 2025-01-21 ,                3,             102.38,       98.09,                  27, Devuelto    , Bucaramanga   , App        , FB-8686    ,               4,                1, No volvería     , SI              , No                    ,           65, 57.6            , Laptops    , 292.0       ,             950.93,           202,             10, NORTE        , 2025-04-12     ,             0.8
TRX-13077     , PROD-2054, 2025-01-21 ,                3,             102.38,       98.09,                  27, Devuelto    , Bucaramanga   , App        , FB-10097   ,               1,                2, Precio justo    , MAYBE           , No                    ,           47, -87.5           , Laptops    , 292.0       ,             950.93,           202,             10, NORTE        , 2025-04-12     ,             0.4
TRX-13078     , PROD-3001, 2025-02-21 ,               13,            1677.42,       21.68,                  18, En Camino   , Barranquilla  , Online     , FB-11038   ,               5,                5, Excelente       , MAYBE           , Sí                    ,           71, -18.0           , Accesorios , 1638.0      ,             775.9 ,           110,              5, NORTE        , 2024-09-11     ,             5.0
TRX-13081     , PROD-3009, 2025-09-08 ,                2,             157.13,       46.16,                   4, Retrasado   , Ventas_Web    , Online     , FB-9569    ,               4,                5, Excelente       , SI              , Sí                    ,           54, -58.8           , Laptops    , 1521.0      ,            1144.5 ,           276,              3, OCCIDENTE    , 2024-11-14     ,             4.0
TRX-13082     , PROD-2887, 2025-01-11 ,               10,             966.56,       28.8 ,                   9, Entregado   , Bogotá        , Online     , FB-9348    ,               2,                3, No volvería     , SI              , Sí                    ,           52, -49.6           , Accesorios , 1221.0      ,            1241.67,           118,              0, SUR          , 2024-03-16     ,             1.2
TRX-13085     , PROD-1693, 2025-08-08 ,               11,            1333.32,       34.04,                  10, Devuelto    , Bogotá        , App        , FB-8728    ,               1,                3, Precio justo    , NO              , Sí                    ,           71, -11.9           , Accesorios , 820.0       ,             260.72,           130,              5, NORTE        , 2024-04-22     ,             0.6
TRX-13091     , PROD-3220, 2025-11-15 ,                9,            1331.96,       45.22,                  13, Entregado   , Medellín      , App        , FB-9869    ,               4,                4, Excelente       , MAYBE           , Sí                    ,           68, -85.1           , Smartphones, 115.0       ,             953.28,           288,             10, OCCIDENTE    , 2026-01-11     ,             3.2
TRX-13093     , PROD-1240, 2026-01-24 ,                5,            1189.05,       37.87,                  10, Devuelto    , Medellín      , Online     , FB-9156    ,               3,                4, Excelente       , SI              , No                    ,           57, 3.8             , Tablets    , 438.0       ,              87.37,           121,             27, NORTE        , 2025-11-28     ,             2.4
TRX-13094     , PROD-3146, 2025-09-17 ,                2,             486.6 ,       75.01,                  25, En Camino   , Ventas_Web    , Online     , FB-10086   ,               5,                4, Excelente       , MAYBE           , Sí                    ,           42, 92.4            , Laptops    , 753.0       ,             738.07,           181,             10, BOD-EXT-99   , 2026-01-01     ,             4.0
TRX-13098     , PROD-1198, 2025-09-23 ,               10,            1398.23,       11.98,                   3, Retrasado   , Ventas_Web    , Físico     , FB-8554    ,               3,                4, Precio justo    , NO              , Sí                    ,           53, -37.3           , Monitores  , 1158.0      ,             369.65,           105,             10, NORTE        , 2024-11-20     ,             2.4
TRX-13103     , PROD-1947, 2025-11-09 ,               12,             404.02,       73.08,                  17, Entregado   , Barranquilla  , App        , FB-8084    ,               5,                2, Excelente       , SI              , Sí                    ,           73, -12.4           , Smartphones, 845.0       ,            1213.47,           209,             27, OCCIDENTE    , 2024-11-03     ,             2.0
TRX-13103     , PROD-1947, 2025-11-09 ,               12,             404.02,       73.08,                  17, Entregado   , Barranquilla  , App        , FB-11105   ,               2,                1, No volvería     , SI              , Sí                    ,           26, 18.2            , Smartphones, 845.0       ,            1213.47,           209,             27, OCCIDENTE    , 2024-11-03     ,             0.4
TRX-13106     , PROD-1618, 2026-01-11 ,               13,             107.25,       56.81,                  13, Entregado   , Medellín      , Online     , FB-9101    ,               2,                5, Lento           , SI              , No                    ,           80, -59.7           , Smartphones, 795.0       ,             900.6 ,           145,             27, NORTE        , 2025-05-29     ,             2.0
TRX-13107     , PROD-1037, 2025-06-05 ,                5,            1197.93,       98.68,                   2, Entregado   , Bucaramanga   , App        , FB-8543    ,               2,                5, No volvería     , NO              , Sí                    ,           51, 97.3            , Laptops    , 663.0       ,            1406.45,           152,             10, SUR          , 2024-05-25     ,             2.0
TRX-13110     , PROD-2867, 2025-10-19 ,               10,            1303.57,       69.42,                  22, Devuelto    , Bogotá        , Físico     , FB-9361    ,               4,                2, Excelente       , SI              , No                    ,           41, 44.0            , Monitores  , 545.0       ,            1417.33,           267,              0, NORTE        , 2025-01-26     ,             1.6
TRX-13119     , PROD-2998, 2026-01-05 ,                7,            1200.28,       20.31,                   3, En Camino   , Bogotá        , Físico     , FB-9095    ,               4,                4, Precio justo    , SI              , Sí                    ,           43, 31.0            , Smartphones, 145.0       ,             356.99,           221,              3, SUR          , 2024-08-30     ,             3.2
TRX-13120     , PROD-1064, 2025-12-12 ,               13,            1072.84,       52.36,                  17, En Camino   , Bogotá        , Online     , FB-9950    ,               3,                2, Excelente       , NO              , No                    ,           44, 58.7            , Smartphones, 1663.0      ,            1332.65,           106,              5, BOD-EXT-99   , 2025-08-02     ,             1.2
TRX-13122     , PROD-3179, 2025-02-08 ,                6,             931.32,       71.55,                  19, Devuelto    , Bogotá        , Online     , FB-11241   ,               2,                5, Dañado          , SI              , Sí                    ,           58, -7.5            , Smartphones, 1957.0      ,            1091.2 ,           132,             10, OCCIDENTE    , 2024-03-28     ,             2.0
TRX-13123     , PROD-3259, 2025-01-03 ,               11,            1820.15,       13.4 ,                   8, Retrasado   , Barranquilla  , Físico     , FB-8656    ,               4,                3, Excelente       , SI              , No                    ,           32, -75.1           , Smartphones, 520.0       ,            1450.13,           171,              5, BOD-EXT-99   , 2025-10-10     ,             2.4
TRX-13131     , PROD-2174, 2025-06-19 ,                5,             462.95,       86.26,                  12, Retrasado   , Bucaramanga   , Físico     , FB-10612   ,               5,                1, Dañado          , MAYBE           , No                    ,           46, -95.4           , Laptops    , 1806.0      ,            1336.83,           172,             10, OCCIDENTE    , 2025-02-25     ,             1.0
TRX-13131     , PROD-2174, 2025-06-19 ,                5,             462.95,       86.26,                  12, Retrasado   , Bucaramanga   , Físico     , FB-10984   ,               3,                5, Excelente       , MAYBE           , Sí                    ,           60, 70.1            , Laptops    , 1806.0      ,            1336.83,           172,             10, OCCIDENTE    , 2025-02-25     ,             3.0
TRX-13137     , PROD-1734, 2025-12-07 ,                9,            1174.93,        8.23,                  24, Retrasado   , Ventas_Web    , Físico     , FB-8270    ,               3,                1, Excelente       , SI              , No                    ,           82, 41.0            , Tablets    , 1233.0      ,             306.77,           142,              0, ZONA_FRANCA  , 2025-06-23     ,             0.6
TRX-13140     , PROD-3147, 2025-09-22 ,                3,            1727.14,       23.04,                  16, En Camino   , Bogotá        , Online     , FB-8544    ,               3,                2, Excelente       , NO              , No                    ,           41, 85.6            , Monitores  , 439.0       ,            1233.28,           253,              5, OCCIDENTE    , 2024-05-13     ,             1.2
TRX-13140     , PROD-3147, 2025-09-22 ,                3,            1727.14,       23.04,                  16, En Camino   , Bogotá        , Online     , FB-9964    ,               3,                2, No volvería     , SI              , No                    ,           38, -35.5           , Monitores  , 439.0       ,            1233.28,           253,              5, OCCIDENTE    , 2024-05-13     ,             1.2
TRX-13143     , PROD-1786, 2025-10-02 ,                2,            1731.01,        7.68,                  11, Retrasado   , Medellín      , Online     , FB-8307    ,               3,                1, Dañado          , SI              , Sí                    ,           48, -24.4           , Smartphones, 219.0       ,            1487.72,           138,             27, SUR          , 2024-10-18     ,             0.6
TRX-13143     , PROD-1786, 2025-10-02 ,                2,            1731.01,        7.68,                  11, Retrasado   , Medellín      , Online     , FB-9205    ,               3,                4, Lento           , MAYBE           , No                    ,           18, 41.8            , Smartphones, 219.0       ,            1487.72,           138,             27, SUR          , 2024-10-18     ,             2.4
TRX-13148     , PROD-2094, 2024-09-30 ,                3,            1106.49,       94.68,                  16, Entregado   , Bogotá        , Físico     , FB-8914    ,               4,                5, Excelente       , SI              , No                    ,           35, -27.6           , Tablets    , 1797.0      ,             388.67,           211,              3, ZONA_FRANCA  , 2025-03-13     ,             4.0
TRX-13148     , PROD-2094, 2024-09-30 ,                3,            1106.49,       94.68,                  16, Entregado   , Bogotá        , Físico     , FB-9878    ,               5,                3, Lento           , MAYBE           , No                    ,           63, 39.4            , Tablets    , 1797.0      ,             388.67,           211,              3, ZONA_FRANCA  , 2025-03-13     ,             3.0
TRX-13150     , PROD-1323, 2025-09-27 ,               14,            1621.06,       55.45,                   3, Perdido     , Bogotá        , Online     , FB-11552   ,               3,                3, Dañado          , NO              , Sí                    ,           79, 58.3            , Tablets    , 470.0       ,            1035.56,           222,              5, BOD-EXT-99   , 2025-06-12     ,             1.8
TRX-13152     , PROD-2663, 2025-11-01 ,                4,            1642.4 ,       51.91,                  26, Entregado   , Ventas_Web    , Físico     , FB-8078    ,               5,                3, Excelente       , MAYBE           , No                    ,           84, 25.2            , Smartphones, 1722.0      ,             702.42,           159,              5, BOD-EXT-99   , 2025-10-27     ,             3.0
TRX-13153     , PROD-2880, 2025-08-09 ,                2,             388.95,       57.92,                  15, Retrasado   , Bogotá        , App        , FB-8410    ,               2,                3, Lento           , MAYBE           , No                    ,           21, 56.6            , Laptops    , 362.0       ,              85.73,           225,              5, BOD-EXT-99   , 2025-10-13     ,             1.2
